timestamp,src_ip,dst_ip,dst_port,protocol,flags,bytes
2025-05-12T09:00:01,203.0.113.99,10.0.0.5,20,tcp,S,60
2025-05-12T09:00:02,203.0.113.99,10.0.0.5,21,tcp,S,60
2025-05-12T09:00:02,198.51.100.26,10.0.0.5,443,tcp,FA,9048
2025-05-12T09:00:03,203.0.113.99,10.0.0.5,22,tcp,S,60
2025-05-12T09:00:04,203.0.113.99,10.0.0.5,23,tcp,S,60
2025-05-12T09:00:05,203.0.113.99,10.0.0.5,24,tcp,S,60
2025-05-12T09:00:05,198.51.100.29,10.0.0.5,8443,tcp,FA,8421
2025-05-12T09:00:06,203.0.113.99,10.0.0.5,25,tcp,S,60
2025-05-12T09:00:07,203.0.113.99,10.0.0.5,26,tcp,S,60
2025-05-12T09:00:08,203.0.113.99,10.0.0.5,27,tcp,S,60
2025-05-12T09:00:09,203.0.113.99,10.0.0.5,28,tcp,S,60
2025-05-12T09:00:09,198.51.100.26,10.0.0.5,8443,tcp,FA,10207
2025-05-12T09:00:10,203.0.113.99,10.0.0.5,29,tcp,S,60
2025-05-12T09:00:11,203.0.113.99,10.0.0.5,30,tcp,S,60
2025-05-12T09:00:12,203.0.113.99,10.0.0.5,31,tcp,S,60
2025-05-12T09:00:12,198.51.100.25,10.0.0.5,8443,tcp,PA,1919
2025-05-12T09:00:13,203.0.113.99,10.0.0.5,32,tcp,S,60
2025-05-12T09:00:14,203.0.113.99,10.0.0.5,33,tcp,S,60
2025-05-12T09:00:15,203.0.113.99,10.0.0.5,34,tcp,S,60
2025-05-12T09:00:15,198.51.100.34,10.0.0.5,80,tcp,PA,8113
2025-05-12T09:00:16,203.0.113.99,10.0.0.5,35,tcp,S,60
2025-05-12T09:00:17,203.0.113.99,10.0.0.5,36,tcp,S,60
2025-05-12T09:00:18,203.0.113.99,10.0.0.5,37,tcp,S,60
2025-05-12T09:00:19,203.0.113.99,10.0.0.5,38,tcp,S,60
2025-05-12T09:00:20,203.0.113.99,10.0.0.5,39,tcp,S,60
2025-05-12T09:00:20,198.51.100.29,10.0.0.5,443,tcp,ACK,6011
2025-05-12T09:00:21,198.51.100.27,10.0.0.5,8443,tcp,ACK,3479
2025-05-12T09:00:22,203.0.113.77,10.0.0.5,3389,tcp,S,60
2025-05-12T09:00:24,203.0.113.77,10.0.0.5,3389,tcp,S,60
2025-05-12T09:00:25,198.51.100.23,10.0.0.5,443,tcp,ACK,6076
2025-05-12T09:00:26,203.0.113.77,10.0.0.5,3389,tcp,S,60
2025-05-12T09:00:28,203.0.113.77,10.0.0.5,3389,tcp,S,60
2025-05-12T09:00:28,198.51.100.34,10.0.0.5,53,tcp,FA,5026
2025-05-12T09:00:33,198.51.100.20,10.0.0.5,53,tcp,PA,1902
2025-05-12T09:00:35,198.51.100.31,10.0.0.5,80,tcp,ACK,9596
2025-05-12T09:00:37,198.51.100.31,10.0.0.5,80,tcp,FA,8541
2025-05-12T09:00:41,198.51.100.32,10.0.0.5,443,tcp,PA,5320
2025-05-12T09:00:43,198.51.100.26,10.0.0.5,443,tcp,PA,5516
